country,exprtdim,feduntdim,parties,winning,execdom,disprop,grplur,federl,bicam,conrig,judrev,bnkind
ARG,-0.93000001,1.38,3.1500001,82.400002,8,17.98,2.7,4.5,4,4,2.7,0.38999999
AUL,-0.73000002,1.63,2.22,80.699997,9.1000004,9.4399996,2.1199999,5,4,4,3,0.41999999
AUT,0.43000001,1.0700001,2.6800001,43.299999,8.0699997,2.51,0.38,4.5,2,3,3,0.55000001
BAH,-1.5,-0.15000001,1.6900001,100,9.4399996,16.48,3,1,2,3,2,0.41
BAR,-1.28,-0.49000001,1.6799999,100,8.8699999,17.27,2.2,1,2,2,2,0.38
BEL,1.14,0.1,4.7199998,37.299999,2.5699999,3.3499999,1.15,3.5,2.8,3,1.8,0.27000001
BOT,-1.4299999,-0.47999999,1.38,100,9.8999996,14.61,2.5999999,1,2.5,2,2,0.33000001
CAN,-1,1.73,2.52,88.400002,8.1000004,11.56,3.25,5,3,4,3.4000001,0.51999998
CR,-0.37,-0.28,2.6700001,85.800003,3,14.38,2.2,1,1,3,2.7,0.37
DEN,1.3099999,-0.34,4.5700002,23.6,3.23,1.71,0.77999997,2,1.2,2,2,0.46000001
FIN,1.58,-0.82999998,5.04,10,1.55,2.96,0.85000002,2,1,3,1,0.28
FRA,-0.86000001,-0.22,3.26,54.799999,8,20.879999,2.9000001,1.3,3,1.7,2.4000001,0.34999999
GER,0.77999997,2.4100001,3.0899999,37.799999,3.8,2.6700001,0.88,5,4,3.5,4,0.69
GRE,-0.63999999,-0.74000001,2.27,98.099998,4.4499998,7.8800001,3.1199999,1,1,2,2,0.38
ICE,0.52999997,-1,3.72,46.299999,3.2,3.8499999,2.2,1,1.4,1,2,0.34
IND,0.64999998,1.14,4.8000002,30.5,3.3299999,9.6000004,2.1500001,4.5,3,3,4,0.34
IRE,0.17,-0.41999999,2.8900001,49.5,4.1599998,3.9300001,2.55,1,2,2,2,0.41
ISR,1.53,-0.89999998,5.1799998,14,1.46,2.5999999,1.15,3,1,1,1,0.41
ITA,1.12,-0.38999999,4.8400002,11.7,1.49,3.6099999,2.4200001,1.3,3,2,2.0999999,0.28
JAM,-1.49,-0.40000001,1.67,100,9.6400003,15.66,3,1,2,3,2,0.30000001
JPN,0.60000002,0.17,3.6199999,40.099998,3.3699999,7,1.48,2,3,4,2,0.25
KOR,-1.22,-0.07,2.8499999,86,8,21.969999,2.9000001,1.5,1,4,3,0.27000001
LUX,0.61000001,-0.88,3.48,45.400002,5.8699999,3.4300001,0.88,1,1,3,1,0.33000001
MAL,-0.82999998,-0.33000001,1.99,100,8.8500004,2.0699999,3,1,1,3,2,0.44
MAU,0.41999999,-0.13,2.8499999,15.3,2.3900001,15.61,1.3,1,1,3,3,0.40000001
NET,1.34,0.30000001,4.8699999,26.799999,2.9100001,1.21,0.98000002,3,3,3,1,0.47999999
NOR,0.80000001,-0.66000003,3.6400001,55.299999,4.04,4.5300002,0.38,2,1.5,3,2,0.17
NZ,-0.47,-1.67,2.28,81.400002,4.54,9.25,2.6800001,1,1.1,1,1,0.20999999
POR,0.22,-0.61000001,3.1300001,53.400002,3.26,4.4299998,2.6199999,1,1,3,2,0.31999999
SPA,-0.62,0.47,2.6600001,69.300003,8.2600002,7.2800002,3.04,3,3,3,3,0.28999999
SWE,0.79000002,-1.03,3.47,48.099998,5.6100001,2.04,0.34999999,2,1.7,1.5,1,0.28999999
SWI,1.72,1.46,5.1999998,4,1,2.55,0.88,5,4,4,1,0.61000001
TRI,-1.01,-0.23999999,1.87,94.300003,6.9499998,11.33,3,1.3,2,3,2,0.34999999
UK,-1.09,-1.0599999,2.1600001,97.300003,8.1199999,11.7,3.02,1.2,2.5,1,1,0.31
URU,0.38999999,-0.79000002,4.4000001,80.300003,4,6.0500002,1.7,1,3,1,2.5,0.19
US,-0.67000002,2.25,2.3900001,80.400002,4,14.28,3.02,5,4,4,4,0.56
